Partner Country,Unit,region,subregion,quarter,year,value
Belize,M3,Latin America,0,Q1,2014,294.74775
Belize,M3,Latin America,0,Q2,2014,386.622
Belize,M3,Latin America,0,Q3,2014,2219.92125
Belize,M3,Latin America,0,Q4,2014,993.66
Belize,M3,Latin America,0,Q1,2015,93.2325
Belize,M3,Latin America,0,Q2,2015,89.35875
Belize,M3,Latin America,0,Q3,2015,376.46175
Belize,M3,Latin America,0,Q4,2015,111.075
Belize,M3,Latin America,0,Q1,2016,20.9175
Belize,M3,Latin America,0,Q2,2016,21.75
Belize,M3,Latin America,0,Q3,2016,118.5075
Belize,M3,Latin America,0,Q4,2016,233.085
Belize,M3,Latin America,0,Q1,2017,0
Benin,M3,Africa,west africa,Q1,2009,0
Benin,M3,Africa,west africa,Q2,2009,0
Benin,M3,Africa,west africa,Q3,2009,35
Benin,M3,Africa,west africa,Q4,2009,247
Benin,M3,Africa,west africa,Q1,2010,0
Benin,M3,Africa,west africa,Q2,2010,855
Benin,M3,Africa,west africa,Q3,2010,1886
Benin,M3,Africa,west africa,Q4,2010,560
Benin,M3,Africa,west africa,Q1,2011,173
Benin,M3,Africa,west africa,Q2,2011,5250
Benin,M3,Africa,west africa,Q3,2011,15957
Benin,M3,Africa,west africa,Q4,2011,19425
Benin,M3,Africa,west africa,Q1,2012,12669
Benin,M3,Africa,west africa,Q2,2012,17283
Benin,M3,Africa,west africa,Q3,2012,8936
Benin,M3,Africa,west africa,Q4,2012,12628
Benin,M3,Africa,west africa,Q1,2013,14035
Benin,M3,Africa,west africa,Q2,2013,11430
Benin,M3,Africa,west africa,Q3,2013,13834
Benin,M3,Africa,west africa,Q4,2013,7778
Benin,M3,Africa,west africa,Q1,2014,23028.97275
Benin,M3,Africa,west africa,Q2,2014,46190.346
Benin,M3,Africa,west africa,Q3,2014,21281.1555
Benin,M3,Africa,west africa,Q4,2014,6021.13275
Benin,M3,Africa,west africa,Q1,2015,4909.4685
Benin,M3,Africa,west africa,Q2,2015,8597.71875
Benin,M3,Africa,west africa,Q3,2015,5519.0475
Benin,M3,Africa,west africa,Q4,2015,1806.657
Benin,M3,Africa,west africa,Q1,2016,7709.016
Benin,M3,Africa,west africa,Q2,2016,14560.668
Benin,M3,Africa,west africa,Q3,2016,754.575
Benin,M3,Africa,west africa,Q4,2016,15
Benin,M3,Africa,west africa,Q1,2017,0
Bolivia,M3,Latin America,0,Q1,2009,0
Bolivia,M3,Latin America,0,Q2,2009,0
Bolivia,M3,Latin America,0,Q3,2009,0
Bolivia,M3,Latin America,0,Q4,2009,0
Bolivia,M3,Latin America,0,Q1,2010,0
Bolivia,M3,Latin America,0,Q2,2010,0
Bolivia,M3,Latin America,0,Q3,2010,0
Bolivia,M3,Latin America,0,Q4,2010,0
Bolivia,M3,Latin America,0,Q1,2011,0
Bolivia,M3,Latin America,0,Q2,2011,0
Bolivia,M3,Latin America,0,Q3,2011,18
Bolivia,M3,Latin America,0,Q4,2011,38
Bolivia,M3,Latin America,0,Q1,2012,38
Bolivia,M3,Latin America,0,Q2,2012,0
Bolivia,M3,Latin America,0,Q3,2012,35
Bolivia,M3,Latin America,0,Q4,2012,0
Bolivia,M3,Latin America,0,Q1,2013,0
Bolivia,M3,Latin America,0,Q2,2013,0
Bolivia,M3,Latin America,0,Q3,2013,0
Bolivia,M3,Latin America,0,Q4,2013,0
Bolivia,M3,Latin America,0,Q1,2014,0
Bolivia,M3,Latin America,0,Q2,2014,0
Bolivia,M3,Latin America,0,Q3,2014,0
Bolivia,M3,Latin America,0,Q4,2014,0
Bolivia,M3,Latin America,0,Q1,2015,0
Bolivia,M3,Latin America,0,Q2,2015,0
Bolivia,M3,Latin America,0,Q3,2015,0
Bolivia,M3,Latin America,0,Q4,2015,0
Bolivia,M3,Latin America,0,Q1,2016,0
Bolivia,M3,Latin America,0,Q2,2016,0
Bolivia,M3,Latin America,0,Q3,2016,0
Bolivia,M3,Latin America,0,Q4,2016,0
Bolivia,M3,Latin America,0,Q1,2017,0
Brazil,M3,Latin America,0,Q1,2009,0
Brazil,M3,Latin America,0,Q2,2009,0
Brazil,M3,Latin America,0,Q3,2009,0
Brazil,M3,Latin America,0,Q4,2009,0
Brazil,M3,Latin America,0,Q1,2010,0
Brazil,M3,Latin America,0,Q2,2010,0
Brazil,M3,Latin America,0,Q3,2010,0
Brazil,M3,Latin America,0,Q4,2010,37
Brazil,M3,Latin America,0,Q1,2011,0
Brazil,M3,Latin America,0,Q2,2011,0
Brazil,M3,Latin America,0,Q3,2011,15
Brazil,M3,Latin America,0,Q4,2011,13
Brazil,M3,Latin America,0,Q1,2012,16
Brazil,M3,Latin America,0,Q2,2012,0
Brazil,M3,Latin America,0,Q3,2012,18
Brazil,M3,Latin America,0,Q4,2012,0
Brazil,M3,Latin America,0,Q1,2013,0
Brazil,M3,Latin America,0,Q2,2013,0
Brazil,M3,Latin America,0,Q3,2013,0
Brazil,M3,Latin America,0,Q4,2013,0
Brazil,M3,Latin America,0,Q1,2014,0
Brazil,M3,Latin America,0,Q2,2014,0
Brazil,M3,Latin America,0,Q3,2014,0
Brazil,M3,Latin America,0,Q4,2014,0
Brazil,M3,Latin America,0,Q1,2015,18.36075
Brazil,M3,Latin America,0,Q2,2015,0
Brazil,M3,Latin America,0,Q3,2015,13.73025
Brazil,M3,Latin America,0,Q4,2015,13.97025
Brazil,M3,Latin America,0,Q1,2016,0
Brazil,M3,Latin America,0,Q2,2016,0
Brazil,M3,Latin America,0,Q3,2016,0
Brazil,M3,Latin America,0,Q4,2016,13.2285
Brazil,M3,Latin America,0,Q1,2017,0
Burkina Faso,M3,Africa,west africa,Q1,2009,0
Burkina Faso,M3,Africa,west africa,Q2,2009,0
Burkina Faso,M3,Africa,west africa,Q3,2009,0
Burkina Faso,M3,Africa,west africa,Q4,2009,0
Burkina Faso,M3,Africa,west africa,Q1,2010,0
Burkina Faso,M3,Africa,west africa,Q2,2010,0
Burkina Faso,M3,Africa,west africa,Q3,2010,0
Burkina Faso,M3,Africa,west africa,Q4,2010,0
Burkina Faso,M3,Africa,west africa,Q1,2011,0
Burkina Faso,M3,Africa,west africa,Q2,2011,0
Burkina Faso,M3,Africa,west africa,Q3,2011,0
Burkina Faso,M3,Africa,west africa,Q4,2011,0
Burkina Faso,M3,Africa,west africa,Q1,2012,0
Burkina Faso,M3,Africa,west africa,Q2,2012,0
Burkina Faso,M3,Africa,west africa,Q3,2012,366
Burkina Faso,M3,Africa,west africa,Q4,2012,0
Burkina Faso,M3,Africa,west africa,Q1,2013,0
Burkina Faso,M3,Africa,west africa,Q2,2013,0
Burkina Faso,M3,Africa,west africa,Q3,2013,0
Burkina Faso,M3,Africa,west africa,Q4,2013,0
Burkina Faso,M3,Africa,west africa,Q1,2014,0
Burkina Faso,M3,Africa,west africa,Q2,2014,0
Burkina Faso,M3,Africa,west africa,Q3,2014,0
Burkina Faso,M3,Africa,west africa,Q4,2014,0
Burkina Faso,M3,Africa,west africa,Q1,2015,0
Burkina Faso,M3,Africa,west africa,Q2,2015,0
Burkina Faso,M3,Africa,west africa,Q3,2015,0
Burkina Faso,M3,Africa,west africa,Q4,2015,0
Burkina Faso,M3,Africa,west africa,Q1,2016,0
Burkina Faso,M3,Africa,west africa,Q2,2016,0
Burkina Faso,M3,Africa,west africa,Q3,2016,0
Burkina Faso,M3,Africa,west africa,Q4,2016,0
Burkina Faso,M3,Africa,west africa,Q1,2017,0
Cambodia,M3,Asia,southeast asia,Q1,2009,1034
Cambodia,M3,Asia,southeast asia,Q2,2009,1344
Cambodia,M3,Asia,southeast asia,Q3,2009,1095
Cambodia,M3,Asia,southeast asia,Q4,2009,2063
Cambodia,M3,Asia,southeast asia,Q1,2010,233
Cambodia,M3,Asia,southeast asia,Q2,2010,834
Cambodia,M3,Asia,southeast asia,Q3,2010,1352
Cambodia,M3,Asia,southeast asia,Q4,2010,905
Cambodia,M3,Asia,southeast asia,Q1,2011,200
Cambodia,M3,Asia,southeast asia,Q2,2011,3927
Cambodia,M3,Asia,southeast asia,Q3,2011,4796
Cambodia,M3,Asia,southeast asia,Q4,2011,894
Cambodia,M3,Asia,southeast asia,Q1,2012,857
Cambodia,M3,Asia,southeast asia,Q2,2012,2117
Cambodia,M3,Asia,southeast asia,Q3,2012,1839
Cambodia,M3,Asia,southeast asia,Q4,2012,2035
Cambodia,M3,Asia,southeast asia,Q1,2013,1997
Cambodia,M3,Asia,southeast asia,Q2,2013,4041
Cambodia,M3,Asia,southeast asia,Q3,2013,10112
Cambodia,M3,Asia,southeast asia,Q4,2013,4615
Cambodia,M3,Asia,southeast asia,Q1,2014,13983.57675
Cambodia,M3,Asia,southeast asia,Q2,2014,21374.25975
Cambodia,M3,Asia,southeast asia,Q3,2014,17255.49075
Cambodia,M3,Asia,southeast asia,Q4,2014,2396.95125
Cambodia,M3,Asia,southeast asia,Q1,2015,1055.3625
Cambodia,M3,Asia,southeast asia,Q2,2015,722.7
Cambodia,M3,Asia,southeast asia,Q3,2015,674.7825
Cambodia,M3,Asia,southeast asia,Q4,2015,535.011
Cambodia,M3,Asia,southeast asia,Q1,2016,1040.646
Cambodia,M3,Asia,southeast asia,Q2,2016,310.6425
Cambodia,M3,Asia,southeast asia,Q3,2016,403.5975
Cambodia,M3,Asia,southeast asia,Q4,2016,0
Cambodia,M3,Asia,southeast asia,Q1,2017,244.47675
Cameroon,M3,Africa,congo basin,Q1,2009,130
Cameroon,M3,Africa,congo basin,Q2,2009,0
Cameroon,M3,Africa,congo basin,Q3,2009,0
Cameroon,M3,Africa,congo basin,Q4,2009,24
Cameroon,M3,Africa,congo basin,Q1,2010,0
Cameroon,M3,Africa,congo basin,Q2,2010,54
Cameroon,M3,Africa,congo basin,Q3,2010,1
Cameroon,M3,Africa,congo basin,Q4,2010,0
Cameroon,M3,Africa,congo basin,Q1,2011,193
Cameroon,M3,Africa,congo basin,Q2,2011,101
Cameroon,M3,Africa,congo basin,Q3,2011,597
Cameroon,M3,Africa,congo basin,Q4,2011,217
Cameroon,M3,Africa,congo basin,Q1,2012,311
Cameroon,M3,Africa,congo basin,Q2,2012,9
Cameroon,M3,Africa,congo basin,Q3,2012,29
Cameroon,M3,Africa,congo basin,Q4,2012,39
Cameroon,M3,Africa,congo basin,Q1,2013,16
Cameroon,M3,Africa,congo basin,Q2,2013,16
Cameroon,M3,Africa,congo basin,Q3,2013,141
Cameroon,M3,Africa,congo basin,Q4,2013,282
Cameroon,M3,Africa,congo basin,Q1,2014,43.1805
Cameroon,M3,Africa,congo basin,Q2,2014,0
Cameroon,M3,Africa,congo basin,Q3,2014,0
Cameroon,M3,Africa,congo basin,Q4,2014,30.46275
Cameroon,M3,Africa,congo basin,Q1,2015,14.2605
Cameroon,M3,Africa,congo basin,Q2,2015,18.417
Cameroon,M3,Africa,congo basin,Q3,2015,76.20375
Cameroon,M3,Africa,congo basin,Q4,2015,23.60175
Cameroon,M3,Africa,congo basin,Q1,2016,0
Cameroon,M3,Africa,congo basin,Q2,2016,6.24825
Cameroon,M3,Africa,congo basin,Q3,2016,24.59775
Cameroon,M3,Africa,congo basin,Q4,2016,353.2995
Cameroon,M3,Africa,congo basin,Q1,2017,28.6695
Chile,M3,Latin America,0,Q1,2009,16
Chile,M3,Latin America,0,Q2,2009,0
Chile,M3,Latin America,0,Q3,2009,0
Chile,M3,Latin America,0,Q4,2009,0
Chile,M3,Latin America,0,Q1,2010,0
Chile,M3,Latin America,0,Q2,2010,0
Chile,M3,Latin America,0,Q3,2010,0
Chile,M3,Latin America,0,Q4,2010,0
Chile,M3,Latin America,0,Q1,2011,0
Chile,M3,Latin America,0,Q2,2011,0
Chile,M3,Latin America,0,Q3,2011,0
Chile,M3,Latin America,0,Q4,2011,0
Chile,M3,Latin America,0,Q1,2012,0
Chile,M3,Latin America,0,Q2,2012,0
Chile,M3,Latin America,0,Q3,2012,0
Chile,M3,Latin America,0,Q4,2012,0
Chile,M3,Latin America,0,Q1,2013,0
Chile,M3,Latin America,0,Q2,2013,0
Chile,M3,Latin America,0,Q3,2013,0
Chile,M3,Latin America,0,Q4,2013,0
Chile,M3,Latin America,0,Q1,2014,0
Chile,M3,Latin America,0,Q2,2014,0
Chile,M3,Latin America,0,Q3,2014,0
Chile,M3,Latin America,0,Q4,2014,0
Chile,M3,Latin America,0,Q1,2015,0
Chile,M3,Latin America,0,Q2,2015,0
Chile,M3,Latin America,0,Q3,2015,0
Chile,M3,Latin America,0,Q4,2015,0
Chile,M3,Latin America,0,Q1,2016,0
Chile,M3,Latin America,0,Q2,2016,0
Chile,M3,Latin America,0,Q3,2016,0
Chile,M3,Latin America,0,Q4,2016,0
Chile,M3,Latin America,0,Q1,2017,0
China,M3,Asia,other asia,Q1,2009,0
China,M3,Asia,other asia,Q2,2009,0
China,M3,Asia,other asia,Q3,2009,0
China,M3,Asia,other asia,Q4,2009,0
China,M3,Asia,other asia,Q1,2010,0
China,M3,Asia,other asia,Q2,2010,0
China,M3,Asia,other asia,Q3,2010,0
China,M3,Asia,other asia,Q4,2010,0
China,M3,Asia,other asia,Q1,2011,0
China,M3,Asia,other asia,Q2,2011,0
China,M3,Asia,other asia,Q3,2011,0
China,M3,Asia,other asia,Q4,2011,0
China,M3,Asia,other asia,Q1,2012,0
China,M3,Asia,other asia,Q2,2012,0
China,M3,Asia,other asia,Q3,2012,0
China,M3,Asia,other asia,Q4,2012,0
China,M3,Asia,other asia,Q1,2013,0
China,M3,Asia,other asia,Q2,2013,0
China,M3,Asia,other asia,Q3,2013,0
China,M3,Asia,other asia,Q4,2013,0
China,M3,Asia,other asia,Q1,2014,36.96
China,M3,Asia,other asia,Q2,2014,0
China,M3,Asia,other asia,Q3,2014,0
China,M3,Asia,other asia,Q4,2014,0
China,M3,Asia,other asia,Q1,2015,0
China,M3,Asia,other asia,Q2,2015,0
China,M3,Asia,other asia,Q3,2015,0
China,M3,Asia,other asia,Q4,2015,0
China,M3,Asia,other asia,Q1,2016,0
China,M3,Asia,other asia,Q2,2016,0
China,M3,Asia,other asia,Q3,2016,0
China,M3,Asia,other asia,Q4,2016,0
China,M3,Asia,other asia,Q1,2017,0
Colombia,M3,Latin America,0,Q1,2009,0
Colombia,M3,Latin America,0,Q2,2009,0
Colombia,M3,Latin America,0,Q3,2009,0
Colombia,M3,Latin America,0,Q4,2009,0
Colombia,M3,Latin America,0,Q1,2010,0
Colombia,M3,Latin America,0,Q2,2010,0
Colombia,M3,Latin America,0,Q3,2010,0
Colombia,M3,Latin America,0,Q4,2010,0
Colombia,M3,Latin America,0,Q1,2011,0
Colombia,M3,Latin America,0,Q2,2011,0
Colombia,M3,Latin America,0,Q3,2011,0
Colombia,M3,Latin America,0,Q4,2011,0
Colombia,M3,Latin America,0,Q1,2012,0
Colombia,M3,Latin America,0,Q2,2012,26
Colombia,M3,Latin America,0,Q3,2012,0
Colombia,M3,Latin America,0,Q4,2012,0
Colombia,M3,Latin America,0,Q1,2013,0
Colombia,M3,Latin America,0,Q2,2013,0
Colombia,M3,Latin America,0,Q3,2013,0
Colombia,M3,Latin America,0,Q4,2013,0
Colombia,M3,Latin America,0,Q1,2014,0
Colombia,M3,Latin America,0,Q2,2014,0
Colombia,M3,Latin America,0,Q3,2014,43.2
Colombia,M3,Latin America,0,Q4,2014,0
Colombia,M3,Latin America,0,Q1,2015,0
Colombia,M3,Latin America,0,Q2,2015,0
Colombia,M3,Latin America,0,Q3,2015,0
Colombia,M3,Latin America,0,Q4,2015,0
Colombia,M3,Latin America,0,Q1,2016,0
Colombia,M3,Latin America,0,Q2,2016,0
Colombia,M3,Latin America,0,Q3,2016,0
Colombia,M3,Latin America,0,Q4,2016,0
Colombia,M3,Latin America,0,Q1,2017,0
Congo,M3,Africa,congo basin,Q1,2009,341
Congo,M3,Africa,congo basin,Q2,2009,485
Congo,M3,Africa,congo basin,Q3,2009,158
Congo,M3,Africa,congo basin,Q4,2009,354
Congo,M3,Africa,congo basin,Q1,2010,29
Congo,M3,Africa,congo basin,Q2,2010,100
Congo,M3,Africa,congo basin,Q3,2010,98
Congo,M3,Africa,congo basin,Q4,2010,264
Congo,M3,Africa,congo basin,Q1,2011,2786
Congo,M3,Africa,congo basin,Q2,2011,4174
Congo,M3,Africa,congo basin,Q3,2011,3178
Congo,M3,Africa,congo basin,Q4,2011,3435
Congo,M3,Africa,congo basin,Q1,2012,3310
Congo,M3,Africa,congo basin,Q2,2012,6894
Congo,M3,Africa,congo basin,Q3,2012,1258
Congo,M3,Africa,congo basin,Q4,2012,2767
Congo,M3,Africa,congo basin,Q1,2013,4343
Congo,M3,Africa,congo basin,Q2,2013,2505
Congo,M3,Africa,congo basin,Q3,2013,2268
Congo,M3,Africa,congo basin,Q4,2013,1562
Congo,M3,Africa,congo basin,Q1,2014,665.9955
Congo,M3,Africa,congo basin,Q2,2014,1138.5675
Congo,M3,Africa,congo basin,Q3,2014,4367.45475
Congo,M3,Africa,congo basin,Q4,2014,1446.40425
Congo,M3,Africa,congo basin,Q1,2015,2774.53875
Congo,M3,Africa,congo basin,Q2,2015,2108.00325
Congo,M3,Africa,congo basin,Q3,2015,1616.823
Congo,M3,Africa,congo basin,Q4,2015,1202.63625
Congo,M3,Africa,congo basin,Q1,2016,1304.4975
Congo,M3,Africa,congo basin,Q2,2016,2170.683
Congo,M3,Africa,congo basin,Q3,2016,3275.337
Congo,M3,Africa,congo basin,Q4,2016,2131.07925
Congo,M3,Africa,congo basin,Q1,2017,2390.3445
"Congo, Dem. Rep.",M3,Africa,congo basin,Q1,2009,470
"Congo, Dem. Rep.",M3,Africa,congo basin,Q2,2009,357
"Congo, Dem. Rep.",M3,Africa,congo basin,Q3,2009,0
"Congo, Dem. Rep.",M3,Africa,congo basin,Q4,2009,526
"Congo, Dem. Rep.",M3,Africa,congo basin,Q1,2010,1940
"Congo, Dem. Rep.",M3,Africa,congo basin,Q2,2010,1883
"Congo, Dem. Rep.",M3,Africa,congo basin,Q3,2010,1381
"Congo, Dem. Rep.",M3,Africa,congo basin,Q4,2010,2712
"Congo, Dem. Rep.",M3,Africa,congo basin,Q1,2011,6157
"Congo, Dem. Rep.",M3,Africa,congo basin,Q2,2011,7291
"Congo, Dem. Rep.",M3,Africa,congo basin,Q3,2011,11463
"Congo, Dem. Rep.",M3,Africa,congo basin,Q4,2011,11008
"Congo, Dem. Rep.",M3,Africa,congo basin,Q1,2012,13815
"Congo, Dem. Rep.",M3,Africa,congo basin,Q2,2012,9067
"Congo, Dem. Rep.",M3,Africa,congo basin,Q3,2012,12059
"Congo, Dem. Rep.",M3,Africa,congo basin,Q4,2012,15583
"Congo, Dem. Rep.",M3,Africa,congo basin,Q1,2013,6928
"Congo, Dem. Rep.",M3,Africa,congo basin,Q2,2013,4635
"Congo, Dem. Rep.",M3,Africa,congo basin,Q3,2013,12083
"Congo, Dem. Rep.",M3,Africa,congo basin,Q4,2013,10241
"Congo, Dem. Rep.",M3,Africa,congo basin,Q1,2014,13038.522
"Congo, Dem. Rep.",M3,Africa,congo basin,Q2,2014,9107.907
"Congo, Dem. Rep.",M3,Africa,congo basin,Q3,2014,7238.90625
"Congo, Dem. Rep.",M3,Africa,congo basin,Q4,2014,11585.247
"Congo, Dem. Rep.",M3,Africa,congo basin,Q1,2015,10849.69725
"Congo, Dem. Rep.",M3,Africa,congo basin,Q2,2015,11120.33925
"Congo, Dem. Rep.",M3,Africa,congo basin,Q3,2015,8683.548
"Congo, Dem. Rep.",M3,Africa,congo basin,Q4,2015,1701.0255
"Congo, Dem. Rep.",M3,Africa,congo basin,Q1,2016,3275.16375
"Congo, Dem. Rep.",M3,Africa,congo basin,Q2,2016,3057.432
"Congo, Dem. Rep.",M3,Africa,congo basin,Q3,2016,5611.7745
"Congo, Dem. Rep.",M3,Africa,congo basin,Q4,2016,1191.30525
"Congo, Dem. Rep.",M3,Africa,congo basin,Q1,2017,2419.4475
Costa Rica,M3,Latin America,0,Q1,2009,0
Costa Rica,M3,Latin America,0,Q2,2009,0
Costa Rica,M3,Latin America,0,Q3,2009,0
Costa Rica,M3,Latin America,0,Q4,2009,0
Costa Rica,M3,Latin America,0,Q1,2010,0
Costa Rica,M3,Latin America,0,Q2,2010,0
Costa Rica,M3,Latin America,0,Q3,2010,0
Costa Rica,M3,Latin America,0,Q4,2010,0
Costa Rica,M3,Latin America,0,Q1,2011,0
Costa Rica,M3,Latin America,0,Q2,2011,0
Costa Rica,M3,Latin America,0,Q3,2011,78
Costa Rica,M3,Latin America,0,Q4,2011,108
Costa Rica,M3,Latin America,0,Q1,2012,292
Costa Rica,M3,Latin America,0,Q2,2012,381
Costa Rica,M3,Latin America,0,Q3,2012,147
Costa Rica,M3,Latin America,0,Q4,2012,20
Costa Rica,M3,Latin America,0,Q1,2013,39
Costa Rica,M3,Latin America,0,Q2,2013,40
Costa Rica,M3,Latin America,0,Q3,2013,0
Costa Rica,M3,Latin America,0,Q4,2013,64
Costa Rica,M3,Latin America,0,Q1,2014,19.08
Costa Rica,M3,Latin America,0,Q2,2014,19.875
Costa Rica,M3,Latin America,0,Q3,2014,215.00025
Costa Rica,M3,Latin America,0,Q4,2014,115.63425
Costa Rica,M3,Latin America,0,Q1,2015,122.22
Costa Rica,M3,Latin America,0,Q2,2015,21
Costa Rica,M3,Latin America,0,Q3,2015,136.065
Costa Rica,M3,Latin America,0,Q4,2015,37.425
Costa Rica,M3,Latin America,0,Q1,2016,100.3875
Costa Rica,M3,Latin America,0,Q2,2016,0
Costa Rica,M3,Latin America,0,Q3,2016,20.4
Costa Rica,M3,Latin America,0,Q4,2016,20.19
Costa Rica,M3,Latin America,0,Q1,2017,40.635
Cote d Ivoire,M3,Africa,west africa,Q1,2009,0
Cote d Ivoire,M3,Africa,west africa,Q2,2009,0
Cote d Ivoire,M3,Africa,west africa,Q3,2009,0
Cote d Ivoire,M3,Africa,west africa,Q4,2009,0
Cote d Ivoire,M3,Africa,west africa,Q1,2010,0
Cote d Ivoire,M3,Africa,west africa,Q2,2010,0
Cote d Ivoire,M3,Africa,west africa,Q3,2010,32
Cote d Ivoire,M3,Africa,west africa,Q4,2010,166
Cote d Ivoire,M3,Africa,west africa,Q1,2011,0
Cote d Ivoire,M3,Africa,west africa,Q2,2011,0
Cote d Ivoire,M3,Africa,west africa,Q3,2011,375
Cote d Ivoire,M3,Africa,west africa,Q4,2011,1607
Cote d Ivoire,M3,Africa,west africa,Q1,2012,1386
Cote d Ivoire,M3,Africa,west africa,Q2,2012,1710
Cote d Ivoire,M3,Africa,west africa,Q3,2012,2543
Cote d Ivoire,M3,Africa,west africa,Q4,2012,6640
Cote d Ivoire,M3,Africa,west africa,Q1,2013,20767
Cote d Ivoire,M3,Africa,west africa,Q2,2013,12728
Cote d Ivoire,M3,Africa,west africa,Q3,2013,55297
Cote d Ivoire,M3,Africa,west africa,Q4,2013,15269
Cote d Ivoire,M3,Africa,west africa,Q1,2014,1846.03425
Cote d Ivoire,M3,Africa,west africa,Q2,2014,6853.44
Cote d Ivoire,M3,Africa,west africa,Q3,2014,26803.155
Cote d Ivoire,M3,Africa,west africa,Q4,2014,27956.42925
Cote d Ivoire,M3,Africa,west africa,Q1,2015,10058.2275
Cote d Ivoire,M3,Africa,west africa,Q2,2015,1464.87975
Cote d Ivoire,M3,Africa,west africa,Q3,2015,1277.919
Cote d Ivoire,M3,Africa,west africa,Q4,2015,192.525
Cote d Ivoire,M3,Africa,west africa,Q1,2016,3189.789
Cote d Ivoire,M3,Africa,west africa,Q2,2016,3568.644
Cote d Ivoire,M3,Africa,west africa,Q3,2016,539.1675
Cote d Ivoire,M3,Africa,west africa,Q4,2016,0
Cote d Ivoire,M3,Africa,west africa,Q1,2017,0
